epoch,train_loss,train_acc,validation_loss,validation_acc
1.0,0.059679282572838145,0.6628440366972477,0.05083174028179862,0.7727272727272727
2.0,0.04589588463374781,0.7889908256880734,0.07915235622362657,0.6090909090909091
3.0,0.04082217956081443,0.8165137614678899,0.03506545925682241,0.8181818181818182
4.0,0.04506386066317011,0.7889908256880734,0.03648901771415364,0.8090909090909091
5.0,0.04080133792867354,0.8142201834862385,0.036757284606044945,0.8090909090909091
6.0,0.042851860737513514,0.805045871559633,0.03782106495716355,0.8272727272727273
7.0,0.03753711341307798,0.823394495412844,0.04174687672745098,0.7909090909090909
8.0,0.036662744050589176,0.8394495412844036,0.041853114488449965,0.8181818181818182
9.0,0.03304124456069885,0.8600917431192661,0.03566380502148108,0.8454545454545455
10.0,0.03447969012611776,0.8486238532110092,0.035530476678501476,0.8727272727272727
11.0,0.03285416056735253,0.8669724770642202,0.03477056419307535,0.8636363636363636
12.0,0.027545975452852905,0.9036697247706422,0.035765283012932,0.8272727272727273
13.0,0.03441478195813818,0.8532110091743119,0.03506393188780004,0.8545454545454545
14.0,0.03612057111490894,0.8325688073394495,0.0351768782870336,0.8454545454545455
15.0,0.033403344460925376,0.8692660550458715,0.03634168180552396,0.8363636363636363
16.0,0.028743725543448683,0.8807339449541285,0.03785303763367913,0.8181818181818182
17.0,0.02974673973208447,0.8669724770642202,0.03806844326582822,0.8
18.0,0.03483664594727372,0.8394495412844036,0.034865936840122395,0.8545454545454545
19.0,0.026216384672790492,0.8990825688073395,0.034657719189470464,0.8545454545454545
20.0,0.02806170048072524,0.8784403669724771,0.037713557278568094,0.8181818181818182
21.0,0.030417541734054,0.8692660550458715,0.040451780435713854,0.8
22.0,0.024057031002476675,0.9013761467889908,0.038201166079802944,0.8272727272727273
23.0,0.03310872676756677,0.8509174311926605,0.03940511237491261,0.8181818181818182
24.0,0.03418169493590473,0.8532110091743119,0.044281488115137276,0.7727272727272727
25.0,0.027522288604613837,0.8853211009174312,0.03786417137492787,0.8272727272727273
26.0,0.02164319460921058,0.908256880733945,0.047397692637010054,0.7909090909090909
27.0,0.02945082512504737,0.8761467889908257,0.03632276200435378,0.8545454545454545
28.0,0.03023401840051653,0.8669724770642202,0.037925874509594656,0.8181818181818182
