epoch,train_loss,train_acc,validation_loss,validation_acc
1.0,0.059679282572838145,0.6628440366972477,0.05083174028179862,0.7727272727272727
2.0,0.04589588463374781,0.7889908256880734,0.07915235622362657,0.6090909090909091
3.0,0.04082217956081443,0.8165137614678899,0.03506545925682241,0.8181818181818182
4.0,0.04506386066317011,0.7889908256880734,0.03648901771415364,0.8090909090909091
5.0,0.04080133792867354,0.8142201834862385,0.036757284606044945,0.8090909090909091
6.0,0.042851860737513514,0.805045871559633,0.03782106495716355,0.8272727272727273
7.0,0.03753711341307798,0.823394495412844,0.04174687672745098,0.7909090909090909
8.0,0.036662744050589176,0.8394495412844036,0.041853114488449965,0.8181818181818182
9.0,0.03304124456069885,0.8600917431192661,0.03566380502148108,0.8454545454545455
10.0,0.03447969012611776,0.8486238532110092,0.035530476678501476,0.8727272727272727
